"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_require_bearer_exception_carries_expected_detail[Bearer not-a-token-invalid token]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_secure_with_invalid_bearer_token_returns_401","tests.flow","2026-06-01","passed","2026-06-01","","test_api_flow","",""
"","3","test_upload_with_file_reports_size","tests.flow","2026-06-01","passed","2026-06-01","","test_api_flow","",""
"","0","test_item_meta_accepts_arbitrary_dict_values[meta2]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_login_uses_default_user_when_username_missing","tests.flow","2026-06-01","passed","2026-06-01","","test_api_flow","",""
"","0","test_items_delete_unknown_id_returns_404","tests.flow","2026-06-01","passed","2026-06-01","","test_api_flow","",""
"","0","test_item_meta_accepts_arbitrary_dict_values[meta0]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_require_bearer_exception_carries_expected_detail[-missing bearer token]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","1","test_admin_with_valid_token_returns_claims","tests.flow","2026-06-01","passed","2026-06-01","","test_api_flow","",""
"","0","test_require_bearer_returns_claims_for_valid_token[frank]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_require_bearer_rejects_undecodable_token[x.y.z]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_submit_echoes_payload[payload1]","tests.flow","2026-06-01","passed","2026-06-01","","test_api_flow","",""
"","0","test_chaos_unauthorized_path","tests.flow","2026-06-01","passed","2026-06-01","","test_api_flow","",""
"","0","test_issue_token_returns_non_empty_string[carol]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_item_construction_roundtrips_fields[999-near-max-meta6]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","1","test_require_bearer_rejects_missing_or_blank_header[]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_find_item_returns_first_matching_item[8]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_find_item_returns_first_matching_item[3]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_item_construction_roundtrips_fields[10-x-meta3]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_find_item_returns_first_matching_item[6]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_item_meta_accepts_arbitrary_dict_values[meta9]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_item_meta_accepts_arbitrary_dict_values[meta7]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_find_item_returns_none_when_id_absent[0]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_find_item_returns_none_when_id_absent[4]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_require_bearer_rejects_missing_or_blank_header[  ]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_require_bearer_rejects_wrong_scheme[Basic abc]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_issue_token_returns_non_empty_string[dave]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
